blocks 168
 71 0x0EEF8  0x8001E6F8 sz=0x14   n=5          | lw $v0, 0x0($s2)             | sw $v0, 0x0($s2)
 72 0x0EF0C  0x8001E70C sz=0xC    n=3   .L8001E70C | and $v0, $v1, $v0            | nop 
 73 0x0EF18  0x8001E718 sz=0x14   n=5          | lui $s0, %hi(D_8009D20C)     | nop 
 74 0x0EF2C  0x8001E72C sz=0x4    n=1          | lui $s3, (0x1000000 >> 16)   | lui $s3, (0x1000000 >> 16)
 75 0x0EF30  0x8001E730 sz=0x14   n=5   .L8001E730 | lui $v0, %hi(D_8009D254)     | nop 
 76 0x0EF44  0x8001E744 sz=0x10   n=4          | lw $v1, 0x0($s0)             | nop 
 77 0x0EF54  0x8001E754 sz=0x14   n=5          | lw $v0, 0x98($s0)            | addu $s1, $v1, $zero
 78 0x0EF68  0x8001E768 sz=0x10   n=4          | lw $a0, 0x18($s1)            | nop 
 79 0x0EF78  0x8001E778 sz=0x14   n=5          | lw $v0, 0x0($s2)             | nop 
 80 0x0EF8C  0x8001E78C sz=0x10   n=4          | lw $v1, 0x0($s1)             | nop 
 81 0x0EF9C  0x8001E79C sz=0x18   n=6          | lbu $v0, 0x0($a0)            | srl $v0, $v1, 21
 82 0x0EFB4  0x8001E7B4 sz=0x10   n=4          | andi $v1, $v0, 0x7           | sll $v0, $v1, 1
 83 0x0EFC4  0x8001E7C4 sz=0x20   n=8          | addu $v0, $v0, $s1           | sw $v0, 0x10($sp)
 84 0x0EFE4  0x8001E7E4 sz=0x18   n=6   .L8001E7E4 | addu $a0, $s0, $zero         | sw $v0, 0x0($s2)
 85 0x0EFFC  0x8001E7FC sz=0x48   n=18         | lui $a0, (0x7FFFFFFF >> 16)  | sw $v1, 0x0($s2)
 86 0x0F044  0x8001E844 sz=0x24   n=9   .L8001E844 | lui $a0, %hi(D_8009D278)     | addu $a1, $v1, $zero
 87 0x0F068  0x8001E868 sz=0x48   n=18         | lhu $v0, 0xE($a0)            | nop 
 88 0x0F0B0  0x8001E8B0 sz=0x8    n=2          | j .L8001E8CC                 | sb $zero, 0x57($a1)
 89 0x0F0B8  0x8001E8B8 sz=0x14   n=5   .L8001E8B8 | lw $v0, 0x4C($a1)            | sb $v0, 0x57($a1)
 90 0x0F0CC  0x8001E8CC sz=0x1C   n=7   .L8001E8CC | lui $a0, %hi(D_8009D278)     | sw $v0, 0x4C($a0)
 91 0x0F0E8  0x8001E8E8 sz=0x14   n=5   .L8001E8E8 | lw $v0, 0x98($s0)            | nop 
 92 0x0F0FC  0x8001E8FC sz=0x14   n=5          | lw $v1, 0x0($s2)             | nop 
 93 0x0F110  0x8001E910 sz=0x10   n=4          | lw $v0, 0x10($s1)            | andi $v0, $v1, 0x200
 94 0x0F120  0x8001E920 sz=0x8    n=2          | bnez $v0, .L8001E948         | addiu $v0, $zero, 0x5A
 95 0x0F128  0x8001E928 sz=0x20   n=8          | lui $a0, %hi(D_8009D278)     | addiu $v0, $zero, 0x5A
 96 0x0F148  0x8001E948 sz=0x30   n=12  .L8001E948 | sb $v0, 0xC4($gp)            | addu $a1, $v1, $zero
 97 0x0F178  0x8001E978 sz=0x48   n=18         | lhu $v0, 0xE($a0)            | nop 
 98 0x0F1C0  0x8001E9C0 sz=0x8    n=2          | j .L8001E9DC                 | sb $zero, 0x57($a1)
 99 0x0F1C8  0x8001E9C8 sz=0x14   n=5   .L8001E9C8 | lw $v0, 0x4C($a1)            | sb $v0, 0x57($a1)
100 0x0F1DC  0x8001E9DC sz=0x1C   n=7   .L8001E9DC | lui $a0, %hi(D_8009D278)     | sw $v0, 0x4C($a0)
101 0x0F1F8  0x8001E9F8 sz=0x30   n=12  .L8001E9F8 | lui $a1, (0xFFF3FFFF >> 16)  | sw $v1, 0x98($v0)
102 0x0F228  0x8001EA28 sz=0x2C   n=11         | lui $v1, %hi(D_8009D278)     | sb $v0, 0x48($v1)
103 0x0F254  0x8001EA54 sz=0x10   n=4   .L8001EA54 | lw $s0, 0x4($s0)             | nop 
104 0x0F264  0x8001EA64 sz=0x28   n=10  .L8001EA64 | lui $a0, %hi(D_8009D278)     | addu $a2, $v1, $zero
105 0x0F28C  0x8001EA8C sz=0x14   n=5          | lh $v0, 0x1C($a0)            | subu $v0, $a1, $a2
106 0x0F2A0  0x8001EAA0 sz=0x40   n=16         | lui $v1, %hi(D_8009D254)     | nop 
107 0x0F2E0  0x8001EAE0 sz=0x8    n=2          | j .L8001EAFC                 | sb $zero, 0x57($a1)
108 0x0F2E8  0x8001EAE8 sz=0x14   n=5   .L8001EAE8 | lw $v0, 0x4C($a1)            | sb $v0, 0x57($a1)
109 0x0F2FC  0x8001EAFC sz=0x1C   n=7   .L8001EAFC | lui $a0, %hi(D_8009D278)     | sw $v0, 0x4C($a0)
110 0x0F318  0x8001EB18 sz=0x18   n=6   .L8001EB18 | lui $v1, %hi(D_8009D278)     | sh $v0, 0xE($v1)
111 0x0F330  0x8001EB30 sz=0x2C   n=11  .L8001EB30 | lw $v0, 0x0($s2)             | lui $v0, (0xC0000 >> 16)
112 0x0F35C  0x8001EB5C sz=0x20   n=8          | lui $a1, %hi(D_8009D254)     | lui $v0, (0xFFF3FFFF >> 16)
113 0x0F37C  0x8001EB7C sz=0x10   n=4          | lbu $v0, 0x49($v1)           | lui $v0, (0xFFF3FFFF >> 16)
114 0x0F38C  0x8001EB8C sz=0x20   n=8   .L8001EB8C | ori $v0, $v0, (0xFFF3FFFF &  | sb $zero, 0x49($v0)
115 0x0F3AC  0x8001EBAC sz=0xC    n=3   .L8001EBAC | lh $a0, 0x4A($v1)            | nop 
116 0x0F3B8  0x8001EBB8 sz=0x44   n=17         | lui $a1, %hi(D_8009D278)     | nop 
117 0x0F3FC  0x8001EBFC sz=0x50   n=20         | lui $a0, %hi(D_8009D278)     | nop 
118 0x0F44C  0x8001EC4C sz=0x4    n=1          | break 7                      | break 7
