wall,tick,cycles,pc,mode,d4d4,scratch0,dest,d278,hp,d2e8,gp90,pad_phase,identity
17:34:15,75,3056736653,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:16,75,3097373318,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:17,75,3143653945,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:18,75,3188805787,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:19,75,3235086426,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:20,75,3277416308,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:21,75,3322568171,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:22,75,3366026762,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:23,75,3410049800,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:24,75,3455201648,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:25,75,3502046743,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:26,75,3548891704,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:27,75,3592914756,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:28,75,3639759809,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:29,75,3686040459,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:30,75,3731192269,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:31,75,3776344157,0x8018fad0,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:32,75,3823189144,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:33,75,3862697001,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:34,75,3896560881,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:35,75,3929295970,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:36,75,3956387071,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:37,75,3990815351,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:38,75,4024679224,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:39,75,4057978703,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:40,75,4092406993,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:41,75,4127399658,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:42,75,4162392338,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:43,75,4196820609,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:44,75,4229555710,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:45,75,4262855192,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:46,75,4297847850,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:47,75,4332840538,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:48,75,4367833210,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:49,75,4402261489,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:50,75,4436689774,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:51,75,4469424850,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:52,75,4501595532,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:53,75,4529815446,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:54,75,4564243717,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:55,75,4599800795,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:56,75,4634229065,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:57,75,4661320172,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:58,75,4687282485,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:34:59,75,4721146362,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:00,75,4755010241,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:01,75,4787745330,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:02,75,4822173601,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:03,75,4857166270,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:04,75,4883128584,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:05,75,4913041682,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:06,75,4946341166,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:07,75,4980769436,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:08,75,5015197721,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:09,75,5049625986,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:10,75,5083489876,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:11,75,5117918151,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:12,75,5151782032,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:13,75,5186210316,0x80073c2c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:14,75,5220638591,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:15,75,5252809268,0x80073be4,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:16,75,5294574719,0xbfc0890c,0x00000000,0x00,0x00000000,0xa9400048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:17,77,5344806155,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:18,77,5379234430,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:19,77,5411405104,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:20,77,5443011405,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:21,77,5476310881,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:22,77,5510174756,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:23,77,5544603035,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:24,77,5577338119,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:25,77,5611766399,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:26,77,5644501482,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:27,77,5677800974,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:28,77,5711100442,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:29,77,5744399931,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:30,77,5776570611,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:31,77,5809305712,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:32,77,5842040792,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:33,77,5875904661,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:34,77,5909768541,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:35,77,5943068026,0x80073be4,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
17:35:36,77,5973545525,0x80073c2c,0x00000000,0x00,0x00000000,0xa8002048,0x00000000,-1,0x00000000,0x00000000,PLAY,1
