scene,ida,idb,source_package,source_offset,size,sha256,frames,enc,bones_minus_1,dest_slot,writer_pc,reachable_via,first_known_consumer,confidence,notes
m0367i,3,0x07,m0367i_chunk2,0xF51C,3260,feffd5a761770b2195d4b94c310cfa542bd6b4b399c6e4bbda9654c24c48aa13,80,1,22,D_800B0E98[3*192+7*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x08,m0367i_chunk2,0x101D8,3236,e7de4e7053ed0b8f7c7e8a1ee47787fb3e66e959cfa5fb0e3c842691711ed44d,70,1,22,D_800B0E98[3*192+8*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,3,0x09,m0367i_chunk2,0x10E7C,300,6bd22d6ce60cab2b0d70ec11433cd51d321394b9f9d1533da14ec8b02e970eb3,1,1,22,D_800B0E98[3*192+9*4],0x8006B84C,type1_0x08,type3 0x2E +0x84 after 0xC1,PROVEN,do not name clip from appearance
m0367i,3,0x0A,m0367i_chunk2,0x10FA8,3712,ccb4bde8d552e177d0c29fc6e64e3c3dee6dda0b4c096779df39e89f54d86630,70,1,22,D_800B0E98[3*192+10*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x00,m0367i_chunk2,0x11E28,300,af1520227b986fb6b1e5958cbf6d5ba47d6abe83f49f52043b9b7fe2fedc0c5f,1,1,22,D_800B0E98[4*192+0*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x01,m0367i_chunk2,0x11F54,1712,b4331c8a7880b8ac5752515f68935cf5199cd8703ee2482ea5ef895e19268e5c,42,1,22,D_800B0E98[4*192+1*4],0x8006B84C,type1_0x08,type4 0x2E +0x1E8 after 0x9D,PROVEN,do not name clip from appearance
m0367i,4,0x02,m0367i_chunk2,0x12604,1240,087761ec6ff5de643f3ebc5c042213692dd78c12132cd67257506c14dd5cc699,20,1,22,D_800B0E98[4*192+2*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x03,m0367i_chunk2,0x12ADC,3640,cb550ebb90d4815bb929deca463d898fd62e80481ed89c174cdfb21c635bd1e5,70,1,22,D_800B0E98[4*192+3*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x04,m0367i_chunk2,0x13914,5856,54e3b3936c5af5e98655e1602f557eaf8c4d5135e2ebaa082072fc0784ab256a,90,1,22,D_800B0E98[4*192+4*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
m0367i,4,0x05,m0367i_chunk2,0x14FF4,5416,0e0af23e5d8f21bc18cbe10614405534b8222e6bd0bdff173bde9182bb1c3e53,90,1,22,D_800B0E98[4*192+5*4],0x8006B84C,type1_0x08,type1_0x08 spawn; no 0x2E in walked prefix,PROVEN,do not name clip from appearance
