index,index_hex,rw,operation,value,value_hex,scene,table_index,module,script_pc,handler,opcode,modes,args,src_bank,dst_bank,alu_desc,signedness,branch_consequence,notes
1,0x1,read,alu_eq,999,0x3E7,m0377i,376,0,+0x0110,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x3E7,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x07FC,a
1,0x1,write,assign,377,0x179,m0377i,376,5,+0x0764,0x800173F4,0x0A,2 0,0x1 0x179,imm,persist,,,,
24,0x18,read,alu_and,2,0x2,m0001i,0,0,+0x00C4,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0x2,persist,cond,dst = a & b,u32,,a
0,0x0,read,alu_and,4,0x4,m0001i,0,0,+0x0128,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0x4,persist,cond,dst = a & b,u32,skip-if-false -> +0x17BC,a
0,0x0,read,alu_or,2,0x2,m0001i,0,0,+0x01D0,0x80012850,0x09,0 3 2 0,0x2 0x1 0x0 0x2,persist,cond,dst = a | b,u32,,a
0,0x0,write,assign,,,m0001i,0,0,+0x01E8,0x800173F4,0x0A,2 3,0x0 0x1,cond,persist,,,,
24,0x18,read,alu_or,2,0x2,m0001i,0,0,+0x037C,0x80012850,0x09,0 3 2 0,0x2 0x0 0x18 0x2,persist,cond,dst = a | b,u32,,a
24,0x18,write,assign,,,m0001i,0,0,+0x0394,0x800173F4,0x0A,2 3,0x18 0x0,cond,persist,,,,
1,0x1,write,assign,1,0x1,m0001i,0,0,+0x04F8,0x800173F4,0x0A,2 0,0x1 0x1,imm,persist,,,,
24,0x18,read,alu_and,2,0x2,m0001i,0,1,+0x07F4,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0x2,persist,cond,dst = a & b,u32,skip-if-false -> +0x1718,a
24,0x18,read,alu_and,2,0x2,m0001i,0,3,+0x0DA4,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0x2,persist,cond,dst = a & b,u32,,a
26,0x1A,read,alu_eq,10,0xA,m0001i,0,4,+0x1328,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1A 0xA,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x1858,a
26,0x1A,read,alu_add,1,0x1,m0001i,0,4,+0x1428,0x80012850,0x09,0 3 2 0,0x0 0x0 0x1A 0x1,persist,cond,dst = a + b,i32_wrap,,a
26,0x1A,write,assign,,,m0001i,0,4,+0x1440,0x800173F4,0x0A,2 3,0x1A 0x0,cond,persist,,,,
1,0x1,write,assign,2,0x2,m0001i,0,5,+0x1688,0x800173F4,0x0A,2 0,0x1 0x2,imm,persist,,,,
1,0x1,read,alu_eq,4,0x4,m0005i,4,0,+0x00B0,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x4,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x32C0,a
24,0x18,read,alu_and,1,0x1,m0005i,4,0,+0x00D8,0x80012850,0x09,0 3 2 0,0x3 0x1 0x18 0x1,persist,cond,dst = a & b,u32,skip-if-false -> +0x3290,a
1,0x1,read,alu_eq,9,0x9,m0005i,4,0,+0x016C,0x80012850,0x09,0 3 2 0,0xB 0x0 0x1 0x9,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x33A4,a
24,0x18,read,alu_and,1,0x1,m0005i,4,0,+0x0194,0x80012850,0x09,0 3 2 0,0x3 0x1 0x18 0x1,persist,cond,dst = a & b,u32,skip-if-false -> +0x3374,a
24,0x18,read,alu_and,4294967294,0xFFFFFFFE,m0005i,4,0,+0x01EC,0x80012850,0x09,0 3 2 0,0x3 0x0 0x18 0xFFFFFFFE,persist,cond,dst = a & b,u32,,a
24,0x18,write,assign,,,m0005i,4,0,+0x0204,0x800173F4,0x0A,2 3,0x18 0x0,cond,persist,,,,
74,0x4A,read,alu_eq,39,0x27,m0005i,4,0,+0x0250,0x80012850,0x09,0 3 2 0,0xB 0x0 0x4A 0x27,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x3460,a
24,0x18,read,alu_and,1,0x1,m0005i,4,0,+0x0278,0x80012850,0x09,0 3 2 0,0x3 0x1 0x18 0x1,persist,cond,dst = a & b,u32,skip-if-false -> +0x3430,a
74,0x4A,read,alu_eq,39,0x27,m0005i,4,0,+0x0318,0x80012850,0x09,0 3 2 0,0xB 0x0 0x4A 0x27,persist,cond,dst = (a == b),bit_exact,skip-if-false -> +0x3780,a
0,0x0,read,alu_and,2,0x2,m0005i,4,0,+0x0394,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0x2,persist,cond,dst = a & b,u32,,a
0,0x0,read,alu_and,4294967293,0xFFFFFFFD,m0005i,4,0,+0x05D8,0x80012850,0x09,0 3 2 0,0x3 0x0 0x0 0xFFFFFFFD,persist,cond,dst = a & b,u32,,a
0,0x0,write,assign,,,m0005i,4,0,+0x05F0,0x800173F4,0x0A,2 3,0x0 0x0,cond,persist,,,,
74,0x4A,write,assign,40,0x28,m0005i,4,0,+0x0600,0x800173F4,0x0A,2 0,0x4A 0x28,imm,persist,,,,
